@A Juíza do Inferno	2024	235577
1	7	dub	https://embedplayer2.xyz/cdn/hls/ed4ddc7feab907e91816c5fa272e0ee9/master.txt
@Os Lucros do Amor	2024	229480
1	1	dub	https://embedplayer2.xyz/cdn/hls/6cbac88332a1012c59ac4e13b5213d73/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/a0a84f5abae94819fdee7e3cddd2565e/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/67f2d38be01f4c85bc73aa434b34629d/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/8bd697b3c410babcbb6bea4745736f33/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/85fe132a79f4cccd45447900f0a71f2e/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/98040cc1ea112a50e106ef52094c534c/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/74f2409c70ce4189702ed6b9f7b6bbf6/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/ce91b33439a8c06ff00c7b2648f41d7f/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/6dde87b216810112001cc25c953eeb1c/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/aee0c6f32941306d0f61923c56bc71a6/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/fc4249046c0fe9cbc95e21d813f3fdfa/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/2325b51dcbaa53000f630a144b04b17d/master.txt
@The Trunk	2024	230777
1	2	dub	https://embedplayer2.xyz/cdn/hls/70c11f085ee57fbfea7ac5653c3e04c1/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/fe9f87a03fdfb15fbe8247540d349e77/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/cb1977c2c32204cf3bc7b73003f725ea/master.txt
@Do Dia Para a Noite	2024	231749
1	3	dub	https://embedplayer2.xyz/cdn/hls/15ac393996155fbd026e592ebb66d43e/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/18ff7d4f4b6eb6147195be864f6969f7/master.txt
